org_id,org_type,canonical_name,name,name_type
un,国連システム,国際連合,国際連合,canonical
un,国連システム,国際連合,国連,alias
un,国連システム,国際連合,国連事務局,alias
un,国連システム,国際連合,国際連合事務局,alias
undp,国連システム,国際連合開発計画,国際連合開発計画,canonical
undp,国連システム,国際連合開発計画,国連開発計画(UNDP),alias
undp,国連システム,国際連合開発計画,UNDP,alias
undp,国連システム,国際連合開発計画,国連開発計画,alias
unido,国連システム,国際連合工業開発機関,国際連合工業開発機関,canonical
unido,国連システム,国際連合工業開発機関,国連工業開発機関(UNIDO),alias
wfp,国連システム,国際連合世界食糧計画,国際連合世界食糧計画,canonical
wfp,国連システム,国際連合世界食糧計画,国連世界食糧計画,alias
wfp,国連システム,国際連合世界食糧計画,世界食糧計画(WFP),alias
unicef,国連システム,国際連合児童基金,国際連合児童基金,canonical
unicef,国連システム,国際連合児童基金,国連児童基金(UNICEF),alias
unicef,国連システム,国際連合児童基金,UNICEF,alias
unhcr,国連システム,国際連合難民高等弁務官事務所,国際連合難民高等弁務官事務所,canonical
unhcr,国連システム,国際連合難民高等弁務官事務所,国連難民高等弁務官事務所(UNHCR),alias
fao,国連システム,国際連合食糧農業機関,国際連合食糧農業機関,canonical
fao,国連システム,国際連合食糧農業機関,国際連合食糧農業機関事務局,alias
fao,国連システム,国際連合食糧農業機関,国連食糧農業機関(FAO),alias
fao,国連システム,国際連合食糧農業機関,FAO,alias
unesco,国連システム,国際連合教育科学文化機関,国際連合教育科学文化機関,canonical
unesco,国連システム,国際連合教育科学文化機関,国連教育科学文化機関(UNESCO),alias
unesco,国連システム,国際連合教育科学文化機関,UNESCO,alias
unfpa,国連システム,国際連合人口基金,国際連合人口基金,canonical
unfpa,国連システム,国際連合人口基金,国連人口基金(UNFPA),alias
unep,国連システム,国際連合環境計画,国際連合環境計画,canonical
unep,国連システム,国際連合環境計画,国連環境計画(UNEP),alias
unep,国連システム,国際連合環境計画,UNEP,alias
unep,国連システム,国際連合環境計画,国連環境計画,alias
unep,国連システム,国際連合環境計画,日本国連環境計画,alias
unep,国連システム,国際連合環境計画,国連環境計画アジア太平洋事務所,alias
unep,国連システム,国際連合環境計画,EANET事務局(国連環境計画(UNEP)アジア太平洋事務所),alias
unep,国連システム,国際連合環境計画,国連環境計画(UNEP)国際環境技術センター(IETC),alias
unhabitat,国連システム,国際連合人間居住計画(UN-Habitat),国際連合人間居住計画(UN-Habitat),canonical
unhabitat,国連システム,国際連合人間居住計画(UN-Habitat),国連人間居住計画,alias
unhabitat,国連システム,国際連合人間居住計画(UN-Habitat),国際連合人間居住計画(UNーHabitat),alias
unhabitat,国連システム,国際連合人間居住計画(UN-Habitat),国連人間の安全保障ユニット,alias
unops,国連システム,国際連合プロジェクト・サービス機関,国際連合プロジェクト・サービス機関,canonical
unops,国連システム,国際連合プロジェクト・サービス機関,国連プロジェクト・サービス機関(UNOPS),alias
unodc,国連システム,国際連合薬物犯罪事務所,国際連合薬物犯罪事務所,canonical
unodc,国連システム,国際連合薬物犯罪事務所,国際連合薬物犯罪事務所(UNODC),alias
unodc,国連システム,国際連合薬物犯罪事務所,国連薬物犯罪事務所(UNODC),alias
unodc,国連システム,国際連合薬物犯罪事務所,国連薬物犯罪事務所,alias
unrwa,国連システム,国際連合パレスチナ難民救済事業機関,国際連合パレスチナ難民救済事業機関,canonical
unrwa,国連システム,国際連合パレスチナ難民救済事業機関,国連パレスチナ難民救済事業機関(UNRWA),alias
unwomen,国連システム,国連女性機関,国連女性機関,canonical
unwomen,国連システム,国連女性機関,国連女性機関(UN Women),alias
unitar,国連システム,国連訓練調査研究所(UNITAR),国連訓練調査研究所(UNITAR),canonical
unitar,国連システム,国連訓練調査研究所(UNITAR),国連訓練調査研究所,alias
undrr,国連システム,国連防災機関,国連防災機関,canonical
undrr,国連システム,国連防災機関,国連防災機関(UNDRR)事務局,alias
undrr,国連システム,国連防災機関,国連防災機関(UNDRR),alias
unctad,国連システム,国連貿易開発会議,国連貿易開発会議,canonical
unctad,国連システム,国連貿易開発会議,国連貿易開発会議(UNCTAD),alias
unu,国連システム,国際連合大学,国際連合大学,canonical
unu,国連システム,国際連合大学,国連大学,alias
unu,国連システム,国際連合大学,国連大学サステイナビリティ高等研究所,alias
dppa,国連システム,国連政務平和構築局(DPPA),国連政務平和構築局(DPPA),canonical
dppa,国連システム,国連政務平和構築局(DPPA),国連平和構築支援オフィス(PBSO),alias
dppa,国連システム,国連政務平和構築局(DPPA),国連平和活動局,alias
unicri,国連システム,国連地域間犯罪司法研究所(UNICRI),国連地域間犯罪司法研究所(UNICRI),canonical
unicri,国連システム,国連地域間犯罪司法研究所(UNICRI),国連地域間犯罪司法研究所,alias
unsd,国連システム,国連統計部,国連統計部,canonical
unsd,国連システム,国連統計部,国連経済社会局(UNDESA),alias
uncef_trust,国連システム,国連特別目的信託基金,国連特別目的信託基金,canonical
uncef_trust,国連システム,国連特別目的信託基金,国連総会議長信託基金,alias
uncef_trust,国連システム,国連特別目的信託基金,国連中央緊急対応基金,alias
uncef_trust,国連システム,国連特別目的信託基金,国際連合中央緊急対応基金,alias
un_misc,国連システム,国連事務局、UNICEF等派遣先国際機関,国連事務局、UNICEF等派遣先国際機関,canonical
un_misc,国連システム,国連事務局、UNICEF等派遣先国際機関,UNDP、ICAO等の派遣先国際機関,alias
un_misc,国連システム,国連事務局、UNICEF等派遣先国際機関,国連事務局、UNICEF等派遣先国際機関,alias
unaids,国連システム,国連合同エイズ計画,国連合同エイズ計画,canonical
unaids,国連システム,国連合同エイズ計画,国連合同エイズ計画(UNAIDS),alias
unsc,国連システム,国際連合安全保障理事会,国際連合安全保障理事会,canonical
unsc,国連システム,国際連合安全保障理事会,国連安全保安局,alias
un_disarm,国連システム,国連軍縮部,国連軍縮部,canonical
un_disarm,国連システム,国連軍縮部,国際連合軍縮部,alias
un_disarm,国連システム,国連軍縮部,国連軍縮部,alias
un_pko,国連システム,国連平和活動,国連平和活動,canonical
un_pko,国連システム,国連平和活動,国連アフガニスタン支援ミッション,alias
un_regional,国連システム,国際連合地域開発センター,国際連合地域開発センター,canonical
un_regional,国連システム,国際連合地域開発センター,国連地域開発センター,alias
